,CATEGORY_x,CATEGORY_y,0
0,Management,Management,9944
1,Office and Administrative Support,Management,8603
2,Sales and Related,Management,5297
3,"Education, Training, Library",Management,6368
4,Construction/Extraction,Management,1606
5,Healthcare and Technical,Management,4307
6,Production,Management,1789
7,Business and Financial Operations,Management,3654
8,"Installation, Maintenance, Repair",Management,1123
9,Transportation,Management,1230
10,Building and Grounds Cleaning/Maintenance,Management,1062
11,Personal Care and Service,Management,1855
12,"Arts, Design, Entertainment, Sports, Media",Management,1539
13,Computer and Mathematical,Management,1460
14,Material Moving,Management,489
15,Food Prep and Serving,Management,1294
16,Protective Service,Management,746
17,Community and Social Service,Management,1117
18,Architecture and Engineering,Management,907
19,Healthcare Support,Management,899
20,Legal,Management,763
21,"Farming, Fishing, Forestry",Management,273
22,"Life, Physical, Social Science",Management,505
23,Military,Management,65
24,Management,Office and Administrative Support,5762
25,Office and Administrative Support,Office and Administrative Support,6168
26,Sales and Related,Office and Administrative Support,5067
27,"Education, Training, Library",Office and Administrative Support,2167
28,Construction/Extraction,Office and Administrative Support,4485
29,Healthcare and Technical,Office and Administrative Support,2047
30,Production,Office and Administrative Support,4043
31,Business and Financial Operations,Office and Administrative Support,2074
32,"Installation, Maintenance, Repair",Office and Administrative Support,3084
33,Transportation,Office and Administrative Support,3049
34,Building and Grounds Cleaning/Maintenance,Office and Administrative Support,1977
35,Personal Care and Service,Office and Administrative Support,1141
36,"Arts, Design, Entertainment, Sports, Media",Office and Administrative Support,812
37,Computer and Mathematical,Office and Administrative Support,1113
38,Material Moving,Office and Administrative Support,1372
39,Food Prep and Serving,Office and Administrative Support,1125
40,Protective Service,Office and Administrative Support,1334
41,Community and Social Service,Office and Administrative Support,617
42,Architecture and Engineering,Office and Administrative Support,1030
43,Healthcare Support,Office and Administrative Support,652
44,Legal,Office and Administrative Support,373
45,"Farming, Fishing, Forestry",Office and Administrative Support,313
46,"Life, Physical, Social Science",Office and Administrative Support,298
47,Military,Office and Administrative Support,133
48,Management,"Education, Training, Library",4249
49,Office and Administrative Support,"Education, Training, Library",2273
