name2,count
"Miscellaneous managers, including funeral service managers and postmasters and mail superintendents",1920
"Sales representatives, wholesale and manufacturing",687
"Miscellaneous engineers, including nuclear engineers",608
"Engineers, all other",608
Retail salespersons,480
Financial managers,381
Driver/sales workers and truck drivers,374
First-line supervisors of construction trades and extraction workers,342
Marketing and sales managers,329
General and operations managers,327
Computer and information systems managers,306
Construction laborers,296
Management analysts,277
Computer programmers,224
Insurance sales agents,222
"Computer occupations, all other",216
Grounds maintenance workers,208
Designers,177
Automotive service technicians and mechanics,177
Physicians and surgeons,163
